Job ID,Job Title,Location
42437,מוביל/ה טכנולוגי/ת (CTO),אזור השרון
42419,מנתח/ת מערכות,אזור השפלה
42401,בודק/ת סייבר הגנתי,אזור המרכז
42398,איש/אשת תמיכה,אזור השרון
42392,תומכ/ת אינטרנט,אזור השפלה
42389,טכנאי/ת PC,אזור השפלה
42385,מהנדס/ת אימות תכן,אזור השפלה
42374,מפתח/ת בכיר/ה,אזור השרון
42372,בודק/ת תוכנה SAP,אזור המרכז
42368,טכנאי/ת PC,אזור המרכז
42357,טכנאי/ת PC,אזור השרון
42356,איש/אשת NOC למשרד ממשלתי בירושלים,ירושלים והסביבה
42352,מפעיל/ה מעבדה Q&R,חיפה והקריות
42344,Hardware Engineer,אזור המרכז
42335,בודק/ת MOBILE,אזור המרכז
42322,מפתח/ת אוטמציה למערכות GIS,אזור השרון
42319,Verification Engineer,אזור הצפון
42313,מדריכ/ת SAP,אזור המרכז
42303,טכנאי/ת PC,אזור המרכז
42302,אנליסט/ית OSINT,אזור השרון
42296,איש/ אשת לוגיסטיקה,אזור המרכז
42285,מפתח/ת Full Stack,אזור המרכז
42280,מנתח/ת מערכות SAP,אזור המרכז
42260,Data Engineer,אזור השרון
42256,מנתח/ת מערכות DATA,אזור השרון
42251,המתמחה בעולמות התקשורת CTO,אזור השרון
42236,יועצ/ת אבטחת מידע,אזור השפלה
42225,איש/ת מכירות,אזור הצפון
42209,מנתח/ת מערכות מידע למשרד ממשלתי בירושלים והיברידי,ירושלים והסביבה
42204,טכנאי/ת מחשבים למשרד ממשלתי בירושלים,ירושלים והסביבה
42193,תומכ/ת טכנית,אזור המרכז
42171,מדריכ/ת SAP מנוסה,אזור המרכז
42170,מפתח/ת Full Stack בכיר/ה,אזור המרכז
42169,FinOps Engineer,אזור המרכז
42159,מנהל/ת תחום תקשורת,אזור השפלה
42149,טכנאי/ת מעבדה,אזור המרכז
42148,מהנדס/ת מעבדת סלולר,אזור המרכז
42147,אחראי/ת בדיקות מערכת,אזור המרכז
42140,מפתח/ת אוטומציה בתחום התקשורת והתשתיות,אזור המרכז
42131,מיישמ/ת הרשאות SAP,אזור השפלה
42125,תומכ/ת Help Desk,אזור המרכז
42116,דובר/ת ערבית/ פרסית - ידע אקדמי במזרח התיכון,אזור המרכז
42115,Test Lab Shift Supervisor,אזור הצפון
42090,מנתח/ת מערכות,דרום
42062,DevOps איש/אשת,ירושלים והסביבה
42018,תומכ/ת NOC,אזור המרכז
42017,טכנאי/ת חדרי תקשורת,אזור השרון
42002,מיישמ/ת SAP CRM,אזור השפלה
41994,מפתח אוטמציה מערכתיות,אזור השרון
41993,"דרוש/ה Linux and Microsoft System Administrator למשרה מלאה בעזריאלי בת""א",אזור המרכז
41990,מטמיע/ת מערכות נכוחות,אזור המרכז
41926,טכנאי/ת PC,אזור המרכז
41915,Technical Support Engineer,אזור המרכז
41880,יוצאי/ות יחידות מודיעין,אזור השרון
41862,Customer care,אזור המרכז
41818,מפתח/ת Full stack בכיר/ה,ירושלים והסביבה
41808,נציג/ת שירות למוקד מידע פיננסי,אזור השפלה
41804,טכנאי/ת מערכות מחשוב,אזור השרון
41765,מוביל/ה טכנולוגי/ת,אזור המרכז
41720,תומכ/ת מערכות מודיעין,אזור השרון
41529,בודק/ת תוכנה ג'וניור,אזור המרכז
41396,טכנאי/ת מערכות מחשוב,אזור השרון
41327,בודק/ת חומרה,אזור הצפון
41326,דובר/ת ערבית,אזור השרון
41324,טכנאי/ת IT,ירושלים והסביבה
41251,דובר/ת פרסית,אזור השרון
41242,Senior Backend Developer,אזור השרון
41076,מפתח/ת הדרכה,אזור המרכז
41065,מפתח/ת אוטומציה בסייבר,אזור המרכז
41064,מפתח/ת אוטומציה ב Cloud,אזור המרכז
41063,Python Automation Developer,אזור המרכז
41059,בודק/ת תוכנה ידני/ת בתחום התקשורת,אזור המרכז
41042,מפתח/ת ABAP,חיפה והקריות
40989,מיישמ/ת SAP PM,חיפה והקריות
37632,אופרטור מעבדת טסט,אזור הצפון
36521,רוצה להשתלב בצוות טכנולוגי בסביבה מבצעית? אנחנו מחפשים אותך!,אזור השרון
30456,בודק/ת אוטומציה ובדיקות ידניות,חיפה והקריות
30419,בודק/ת מערכות מורכבות מנוסה,חיפה והקריות
